,X,lon,lat
327,390,-73.2852,41.40097
328,391,-71.0183787,42.0834335
329,392,-70.8578024,42.4999582
330,393,-71.3824374,42.4072107
331,395,-71.3824374,42.4072107
332,396,-77.0332173,37.9022008
333,398,-78.83222,35.593877
334,401,-71.2643465,42.0909458
335,403,-122.4290335,37.7636866
336,404,-79.0192997,35.7595731
337,406,-118.2436849,34.0522342
338,407,-70.9592096,42.0334341
339,408,-82.9987942,39.9611755
340,409,-71.3466104,42.285214
341,410,-95.712891,37.09024
342,411,-70.8787277,42.7167483
343,412,-102.552784,23.634501
344,413,-94.846681,39.7674578
345,414,-98.3005732,26.271646
346,415,-81.3656242,28.6611089
347,416,-95.712891,37.09024
348,417,-114.0708459,51.0486151
349,419,-73.087749,41.6032207
350,420,-95.3698028,29.7604267
351,421,-77.6109219,43.16103
352,422,-86.902298,32.3182314
353,423,-91.5301683,41.6611277
354,424,-71.4774291,41.5800945
355,425,14.995463,46.151241
356,426,-105.7820674,39.5500507
357,428,-105.0166498,39.613321
358,429,-71.0588801,42.3600825
359,430,-71.512617,41.8205199
360,432,-70.934205,41.6362152
361,433,103.836188,1.310471
362,434,-95.712891,37.09024
363,435,-87.7790142,41.7089387
364,436,-91.8318334,35.20105
365,437,-73.087749,41.6032207
366,438,-118.2436849,34.0522342
367,439,-71.0183787,42.0834335
368,440,-99.133208,19.4326077
369,441,-82.9987942,39.9611755
370,442,-81.3792365,28.5383355
371,443,-64.264167,-27.7833574
372,444,-76.4921829,38.9784453
373,445,-119.4179324,36.778261
374,446,-71.3824374,42.4072107
375,447,-117.1610838,32.715738
376,449,121.774017,12.879721
377,450,-82.907123,40.4172871
378,451,-71.3824374,42.4072107
379,452,-71.2356113,42.3764852
380,453,-71.3646694,41.767455
381,454,-71.0588801,42.3600825
382,455,7.02158,50.9317218
383,456,-119.4179324,36.778261
384,457,-74.1840322,40.3451095
385,458,-113.4909267,53.544389
386,459,-95.712891,37.09024
387,460,-99.9018131,31.9685988
388,461,-83.2523765,32.286281
389,462,-84.3640829,33.7589188
390,463,-81.5157535,27.6648274
391,464,-77.9655406,35.974598
392,465,-110.2772856,31.5455001
393,468,10.451526,51.165691
394,469,-71.3824374,42.4072107
395,471,-71.0588801,42.3600825
396,472,-118.2436849,34.0522342
397,473,-71.1776114,42.3956405
398,474,-74.2107006,40.6639916
399,475,-83.6324022,32.8406946
400,476,-98.4936282,29.4241219
401,478,-81.7075787,12.5450153
402,479,-119.4179324,36.778261
403,480,-106.346771,56.130366
404,481,-71.2478251,42.0653812
405,482,-88.4334301,42.5916836
406,483,-119.4179324,36.778261
407,484,-84.3640829,33.7589188
408,485,-0.7532809,39.4840108
409,486,-74.0059413,40.7127837
410,487,-95.712891,37.09024
411,488,-73.087749,41.6032207
412,491,-102.552784,23.634501
413,492,-95.712891,37.09024
414,493,-2.6818614,42.8591338
415,494,-87.6297982,41.8781136
416,496,-76.7330182,42.1733622
417,497,-85.6023643,44.3148443
418,498,-71.3824374,42.4072107
419,499,-87.2169149,30.421309
420,500,-84.3926117,33.7572107
421,501,-71.0588801,42.3600825
422,502,-122.4194155,37.7749295
423,503,-91.8074586,18.6504879
424,506,-72.0883141,41.5226257
425,507,-84.7756364,43.5819086
426,508,-80.9971648,34.9508992
427,509,-71.0588801,42.3600825
428,510,-115.1398296,36.1699412
429,511,-84.4821498,34.6948076
430,512,-78.6568942,37.4315734
431,515,-105.8700901,34.5199402
432,517,-102.552784,23.634501
433,518,-122.1686033,37.4226924
434,519,-71.3099447,41.9820732
435,523,-71.3824374,42.4072107
436,524,-71.3824374,42.4072107
437,525,-74.4056612,40.0583238
438,526,-71.4372796,41.7798226
439,527,10.89779,48.3705449
440,528,-83.8408265,40.2778934
441,529,-49.267137,-25.4289541
442,531,-70.8226541,43.9653889
443,532,-71.0588801,42.3600825
444,533,-70.3344921,43.5901974
445,536,-81.3792365,28.5383355
446,537,-64.7782313,46.0878165
447,540,-118.2436849,34.0522342
448,542,-74.0059413,40.7127837
449,544,-71.3250563,42.1195426
450,545,-0.1277583,51.5073509
451,546,-75.0821053,43.2586801
452,547,-87.9040571,42.1283137
453,548,-95.712891,37.09024
454,549,-87.6297982,41.8781136
455,550,-80.0691649,36.4557894
456,551,-67.8423045,46.1251753
457,552,-71.1550451,41.7014912
458,553,-104.8730088,39.8675693
459,554,-116.8178793,33.9302933
460,555,-111.0937311,34.0489281
461,556,7.0115552,51.4556432
462,557,17.191,44.7721811
463,558,-71.0588801,42.3600825
464,559,-89.3985283,40.6331249
465,560,-95.712891,37.09024
466,561,-97.1416768,32.5631924
467,563,-75.977985,36.8529263
468,564,-79.7919754,36.0726354
469,566,-106.4850217,31.7618778
470,567,-120.7554851,35.1706029
471,568,-71.0588801,42.3600825
472,569,-71.0588801,42.3600825
473,571,-71.0588801,42.3600825
474,573,-71.0588801,42.3600825
475,574,-89.3985283,40.6331249
476,575,-118.2436849,34.0522342
477,576,-90.1952514,38.634664
478,577,-72.475919,42.1600936
479,578,-71.0588801,42.3600825
480,579,-119.4179324,36.778261
481,581,-71.4774291,41.5800945
482,583,-110.0540366,40.3020874
483,584,-71.0588801,42.3600825
484,585,-83.7430378,42.2808256
485,589,-71.5625625,41.7334334
486,590,-71.4774291,41.5800945
487,591,0.0840215,38.8309736
488,592,-86.7816016,36.1626638
489,593,-78.6962699,26.5481476
490,594,-77.2405153,39.1547426
491,595,-95.712891,37.09024
